Frame,time,wavelength,distance,force/radius
137,68.5,796.0859140859144,199.3660105574227,776.1396999527734
138,69.0,796.0839160839164,199.36533455759638,758.1265716300152
139,69.5,796.0839160839164,199.36533455759638,740.1261135950236
140,70.0,796.0839160839164,199.36533455759638,722.1256555600321
141,70.5,796.0839160839164,199.36533455759638,704.12519752504
142,71.0,796.0839160839164,199.36533455759638,686.1247394900485
143,71.5,796.0839160839164,199.36533455759638,668.1242814550565
144,72.0,796.0839160839164,199.36533455759638,650.1238234200649
145,72.5,796.0839160839164,199.36533455759638,632.1233653850734
146,73.0,796.0839160839164,199.36533455759638,614.1229073500814
147,73.5,796.0648240648243,199.35887499006202,596.001377420808
148,74.0,796.0768120768123,199.36293100046845,578.0769413269946
149,74.5,796.1490731490734,199.3873795237782,560.5347227970094
150,75.0,796.2775002775005,199.43083017576035,543.3486618118628
151,75.5,796.4280164280167,199.4817527746724,526.3026477824861
152,76.0,796.5515595515598,199.52354872610496,509.0855726885861
153,76.5,796.5990675990679,199.53962093106222,491.386356538459
154,77.0,796.6073926073929,199.54243730656336,473.4386859253985
155,77.5,796.6023976023979,199.54074748181827,455.4065554476617
