Wave Index,Frame Number,Center of Mass X Coord
1,136,455.0
1,136,455.0
1,137,456.0
1,137,456.0
1,138,455.0
1,138,455.0
1,139,456.0
1,139,456.0
1,140,454.0
1,140,454.0
1,141,454.0
1,141,454.0
1,142,454.0
1,142,454.0
1,143,455.0
1,143,455.0
1,144,455.0
1,144,455.0
1,145,454.0
1,145,454.0
1,146,454.0
1,146,454.0
1,147,456.0
1,147,456.0
1,148,454.0
1,148,454.0
1,149,455.0
1,149,455.0
1,150,454.0
1,150,454.0
1,151,455.0
1,151,455.0
1,152,454.0
1,152,454.0
1,153,454.0
1,153,454.0
1,154,453.0
1,154,453.0
1,155,453.0
1,155,453.0
1,156,454.0
1,156,454.0
1,157,454.0
1,157,454.0
1,158,454.0
1,158,454.0
1,159,454.0
1,159,454.0
1,160,454.0
1,160,454.0
1,161,454.0
1,161,454.0
1,162,455.0
1,162,455.0
1,163,455.0
1,163,455.0
1,164,453.0
1,164,453.0
1,165,455.0
1,165,455.0
1,166,454.0
1,166,454.0
1,167,456.0
1,167,456.0
1,168,454.0
1,168,454.0
1,169,453.0
1,169,453.0
1,170,453.0
1,170,453.0
1,171,455.0
1,171,455.0
1,172,454.0
1,172,454.0
1,173,455.0
1,173,455.0
1,174,455.0
1,174,455.0
1,175,455.0
1,175,455.0
1,176,456.0
1,176,456.0
1,177,456.0
1,177,456.0
1,178,456.0
1,178,456.0
1,179,457.0
1,179,457.0
1,180,456.0
1,180,456.0
1,181,456.0
1,181,456.0
1,182,456.0
1,182,456.0
1,183,458.0
1,183,458.0
1,184,456.0
1,184,456.0
1,185,456.0
1,185,456.0
1,186,457.0
1,186,457.0
1,187,457.0
1,187,457.0
1,188,458.0
1,188,458.0
1,189,457.0
1,189,457.0
1,190,456.0
1,190,456.0
1,191,457.0
1,191,457.0
1,192,459.0
1,192,459.0
1,193,458.0
1,193,458.0
1,194,457.0
1,194,457.0
1,195,458.0
1,195,458.0
1,196,457.0
1,196,457.0
1,197,458.0
1,197,458.0
1,198,457.0
1,198,457.0
1,199,459.0
1,199,459.0
1,200,459.0
1,200,459.0
1,201,460.0
1,201,460.0
1,202,460.0
1,202,460.0
1,203,459.0
1,203,459.0
1,204,461.0
1,204,461.0
1,205,461.0
1,205,461.0
1,206,461.0
1,206,461.0
1,207,462.0
1,207,462.0
1,208,462.0
1,208,462.0
1,209,463.0
1,209,463.0
1,210,462.0
1,210,462.0
1,211,464.0
1,211,464.0
1,212,464.0
1,212,464.0
1,213,466.0
1,213,466.0
1,214,467.0
1,214,467.0
1,215,468.0
1,215,468.0
1,216,470.0
1,216,470.0
1,217,474.0
1,217,474.0
1,218,477.0
1,218,477.0
1,219,481.0
1,219,481.0
1,220,487.0
1,220,487.0
1,221,491.0
1,221,491.0
1,222,498.0
1,222,498.0
1,223,508.0
1,223,508.0
1,224,513.0
1,224,513.0
1,225,521.0
1,225,521.0
1,226,530.0
1,226,530.0
1,227,539.0
1,227,539.0
1,228,547.0
1,228,547.0
1,229,554.0
1,229,554.0
1,230,562.0
1,230,562.0
1,231,571.0
1,231,571.0
1,232,579.0
1,232,579.0
1,233,586.0
1,233,586.0
1,234,592.0
1,234,592.0
1,235,600.0
1,235,600.0
1,236,608.0
1,236,608.0
1,237,615.0
1,237,615.0
1,238,622.0
1,238,622.0
1,239,630.0
